R,S(R)
T=1.75,
1.099,1.105
1.386,1.115
1.609,1.098
1.792,1.087
1.946,1.073
2.079,1.033
2.197,0.961
2.303,0.945
2.398,0.942
2.485,0.997
2.565,0.906
2.639,0.882
2.708,0.875
2.773,0.807
2.833,0.840
2.890,0.866
2.944,0.744
2.996,0.764
3.045,0.752
3.091,0.726
3.135,0.699
3.178,0.635
3.219,0.686
3.258,0.634
3.296,0.627
3.332,0.646
3.367,0.632
3.401,0.636
3.434,0.627
3.466,0.588
3.497,0.538
3.526,0.582
3.555,0.537
3.584,0.560
3.611,0.527
3.638,0.556
3.664,0.543
3.689,0.519
3.714,0.492
3.738,0.493
3.761,0.478
3.784,0.487
3.807,0.473
3.829,0.512
3.850,0.498
3.871,0.502
3.892,0.433
3.912,0.455
3.932,0.476
3.951,0.465
