R,S(R)
T=1.50,
1.099,1.170
1.386,1.152
1.609,1.089
1.792,1.077
1.946,1.131
2.079,1.056
2.197,1.024
2.303,1.027
2.398,0.980
2.485,0.983
2.565,0.924
2.639,0.904
2.708,0.884
2.773,0.882
2.833,0.866
2.890,0.817
2.944,0.829
2.996,0.810
3.045,0.747
3.091,0.728
3.135,0.711
3.178,0.740
3.219,0.658
3.258,0.697
3.296,0.690
3.332,0.664
3.367,0.669
3.401,0.619
3.434,0.663
3.466,0.660
3.497,0.620
3.526,0.567
3.555,0.525
3.584,0.521
3.611,0.554
3.638,0.516
3.664,0.547
3.689,0.482
3.714,0.489
3.738,0.508
3.761,0.517
3.784,0.459
3.807,0.476
3.829,0.461
3.850,0.502
3.871,0.461
3.892,0.454
3.912,0.478
3.932,0.427
3.951,0.459
