0,1,1 
1,2,2.0
2,3,1.5
3,5,1.6666666666666667
4,8,1.6
5,13,1.625
6,21,1.6153846153846154
7,34,1.619047619047619
8,55,1.6176470588235294
9,89,1.6181818181818182
10,144,1.6179775280898876
11,233,1.6180555555555556
0,1,1 
1,2,2.0
2,3,1.5
3,5,1.6666666666666667
4,8,1.6
5,13,1.625
6,21,1.6153846153846154
7,34,1.619047619047619
8,55,1.6176470588235294
9,89,1.6181818181818182
10,144,1.6179775280898876
11,233,1.6180555555555556
12,377,1.6180257510729614
13,610,1.6180371352785146
14,987,1.618032786885246
15,1597,1.618034447821682
16,2584,1.6180338134001253
17,4181,1.618034055727554
18,6765,1.6180339631667064
19,10946,1.6180339985218033
20,17711,1.618033985017358
